game_id,date,opponent,is_home,leafs_score,opponent_score,result,total_goals,rest_days,opp_win_pct,opp_goals_per_game,opp_goals_against_per_game,opp_points,opp_l10_wins,leafs_standing_points,leafs_pp_pct,leafs_pk_pct,leafs_corsi_pct,leafs_fenwick_pct,leafs_pdo,leafs_shots_pg,leafs_shots_against_pg,leafs_faceoff_pct,leafs_save_pct,leafs_shooting_pct,leafs_zone_start_pct,opp_pp_pct,opp_pk_pct,opp_corsi_pct,opp_pdo,opp_save_pct
2017021223,2018-04-02,BUF,1,5,2,W,7,2,0.321,2.4,3.33,62,3,101,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1907,0.7787,0.476,0.9775,0.9161
2017021241,2018-04-05,NJD,0,1,2,L,3,3,0.532,3.01,2.99,93,7,101,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2103,0.8123,0.4848,0.9957,0.9179
2017021259,2018-04-07,MTL,1,4,2,W,6,2,0.354,2.52,3.19,68,3,101,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2,0.8,0.5,1.0,0.91
2018020001,2018-10-03,MTL,1,3,2,W,5,1,0.6,3.6,2.6,7,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2,0.8,0.5,1.0,0.91
2018020018,2018-10-06,OTT,1,3,5,L,8,3,0.5,4.0,3.67,7,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2035,0.7917,0.449,0.9941,0.9072
2018020030,2018-10-07,CHI,0,7,6,W,13,1,0.6,4.4,4.2,8,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2017,0.7273,0.4934,1.0046,0.9188
2018020041,2018-10-09,DAL,0,7,4,W,11,2,0.6,3.6,3.0,6,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.212,0.8436,0.4799,1.0033,0.9342
2018020052,2018-10-11,DET,0,5,3,W,8,2,0.0,2.33,5.0,2,0,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1806,0.7714,0.4711,0.9976,0.9196
2018020065,2018-10-13,WSH,0,4,2,W,6,2,0.4,4.0,3.8,5,2,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2115,0.7972,0.4839,1.0206,0.9205
2018020074,2018-10-15,LAK,1,4,1,W,5,2,0.333,2.0,2.67,5,2,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1584,0.7652,0.4808,0.9921,0.9174
2018020090,2018-10-18,PIT,1,0,3,L,3,3,0.5,3.75,4.25,5,2,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2385,0.8,0.5003,1.0096,0.9291
2018020106,2018-10-20,STL,1,1,4,L,5,2,0.2,3.0,4.0,4,1,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1987,0.8013,0.5129,1.007,0.9238
2018020131,2018-10-24,WPG,0,4,2,W,6,4,0.6,2.2,2.2,6,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2462,0.7881,0.4902,1.0073,0.924
2018020153,2018-10-27,WPG,1,3,2,W,5,3,0.6,2.2,2.2,6,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2462,0.7881,0.4902,1.0073,0.924
2018020165,2018-10-29,CGY,1,1,3,L,4,2,0.6,3.6,3.2,6,3,12,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1953,0.797,0.5328,1.0079,0.9202
2018020179,2018-11-01,DAL,1,1,2,L,3,3,0.583,3.0,2.58,14,5,16,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.212,0.8436,0.4799,1.0033,0.9342
2018020199,2018-11-03,PIT,0,5,0,W,5,2,0.545,4.09,3.18,15,5,16,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2385,0.8,0.5003,1.0096,0.9291
2018020215,2018-11-06,VGK,1,3,1,W,4,3,0.385,2.31,3.0,11,4,16,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1801,0.803,0.5423,0.9944,0.9172
2018020236,2018-11-09,NJD,1,6,1,W,7,3,0.5,3.4,3.2,11,5,16,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1772,0.8431,0.4688,0.9867,0.9112
2018020245,2018-11-10,BOS,0,1,5,L,6,1,0.583,3.08,2.42,16,6,16,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.2738,0.8179,0.5247,1.0037,0.9315
2018020271,2018-11-13,LAK,0,5,1,W,6,3,0.294,2.0,3.24,11,3,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1584,0.7652,0.4808,0.9921,0.9174
2018020285,2018-11-15,SJS,0,5,3,W,8,2,0.5,3.2,3.2,23,5,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.224,0.8046,0.5402,0.9875,0.8992
2018020291,2018-11-16,ANA,0,2,1,W,3,1,0.4,2.2,2.95,19,3,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1698,0.797,0.476,0.9998,0.9256
2018020308,2018-11-19,CBJ,1,4,2,W,6,3,0.579,3.42,3.26,24,6,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1667,0.8489,0.4968,1.0028,0.9177
2018020323,2018-11-21,CAR,0,2,5,L,7,2,0.444,2.78,3.0,19,4,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1639,0.7931,0.5494,0.9949,0.9215
2018020339,2018-11-23,CBJ,0,2,4,L,6,2,0.579,3.42,3.26,24,6,26,0.2159,0.7818,0.5167,0.5001,1.0181,33.26,33.31,0.5262,0.9259,0.0922,0.503,0.1667,0.8489,0.4968,1.0028,0.9177
